Gene.ID	Gene.symbol	Description	Scientific.name	Common.name	RefSeq.Transcript.accessions	RefSeq.Protein.accessions	SPARCLE.ID	Curation.Status	RefseqSelect	Default.sequence	human_pctid	colour
102971960	DPP4	dipeptidyl peptidase 4	Panthera tigris altaica	Amur tiger	XM_007078452.1	XP_007078514.1	14933217	model		default-seq	87.1	#FCAA0FFF
109271956	DPP4	dipeptidyl peptidase 4	Panthera pardus	leopard	XM_019457684.1	XP_019313229.1	14933217	model		default-seq	87.3	#FCAA0FFF
115287771	DPP4	dipeptidyl peptidase 4	Suricata suricatta	meerkat	XM_029934484.1	XP_029790344.1	NA	model		default-seq	86	#FCA409FF
102425390	DPP4	dipeptidyl peptidase 4	Myotis lucifugus	little brown bat	XM_014445986.2	XP_014301472.1	14933217	model		default-seq	83.2	#F98E09FF
102764554	DPP4	dipeptidyl peptidase 4	Myotis davidii		XM_006766490.2	XP_006766553.1	14933217	model		default-seq	82.1	#F8880DFF
102253137	DPP4	dipeptidyl peptidase 4	Myotis brandtii	Brandt's bat	XM_005859372.2	XP_005859434.1	14933217	model		default-seq	83.3	#F98E09FF
103283510	DPP4	dipeptidyl peptidase 4	Eptesicus fuscus	big brown bat	XM_028141092.1	XP_027996893.1	14933217	model		default-seq	84.3	#FB9606FF
107524885	DPP4	dipeptidyl peptidase 4	Miniopterus natalensis		XM_016196976.1	XP_016052462.1	14933217	model		default-seq	83.6	#FB9606FF
114494633	DPP4	dipeptidyl peptidase 4	Phyllostomus discolor	pale spear-nosed bat	XM_028509902.1	XP_028365703.1	14933217	model		default-seq	83	#F98E09FF
112322239	DPP4	dipeptidyl peptidase 4	Desmodus rotundus	common vampire bat	XM_024579835.1	XP_024435603.1	14933217	model		default-seq	84.1	#FB9606FF
109379863	DPP4	dipeptidyl peptidase 4	Hipposideros armiger	great roundleaf bat	XM_019636841.1	XP_019492386.1	14933217	model		default-seq	84.6	#FB9C07FF
117025802	DPP4	dipeptidyl peptidase 4	Rhinolophus ferrumequinum	greater horseshoe bat	XM_033112013.1	XP_032967904.1	NA	model		default-seq	85.4	#FB9C07FF
105291033	DPP4	dipeptidyl peptidase 4	Pteropus vampyrus	large flying fox	XM_011358539.2	XP_011356841.1	14933217	model		default-seq	82.9	#F98E09FF
102887619	DPP4	dipeptidyl peptidase 4	Pteropus alecto	black flying fox	XM_015596622.2	XP_015452108.1	14933217	model		default-seq	83.7	#FB9606FF
107511738	DPP4	dipeptidyl peptidase 4	Rousettus aegyptiacus	Egyptian rousette	XM_016146439.1	XP_016001925.1	14933217	model		default-seq	88.4	#FCB115FF
106843167	DPP4	dipeptidyl peptidase 4	Equus asinus	ass	XM_014860096.1	XP_014715582.1	12012129	model		default-seq	89.8	#FAC026FF
103554423	DPP4	dipeptidyl peptidase 4	Equus przewalskii	Przewalski's horse	XM_008525459.1	XP_008523681.1	12012129	model		default-seq	89.9	#FAC026FF
100061124	DPP4	dipeptidyl peptidase 4	Equus caballus	horse	XM_023623018.1	XP_023478786.1	12012129	model		default-seq	84.1	#FB9606FF
101320405	DPP4	dipeptidyl peptidase 4	Tursiops truncatus	common bottlenose dolphin	XM_019923172.1	XP_019778731.1	14933217	model		default-seq	84.8	#FB9C07FF
113632576	DPP4	dipeptidyl peptidase 4	Lagenorhynchus obliquidens	Pacific white-sided dolphin	XM_027129826.1	XP_026985627.1	14933217	model		default-seq	84.5	#FB9606FF
115851015	DPP4	dipeptidyl peptidase 4	Globicephala melas	long-finned pilot whale	XM_030852609.1	XP_030708469.1	NA	model		default-seq	89.3	#FBB91EFF
101272821	DPP4	dipeptidyl peptidase 4	Orcinus orca	killer whale	XM_004283621.3	XP_004283669.1	14933217	model		default-seq	88.9	#FBB91EFF
114896616	DPP4	dipeptidyl peptidase 4	Monodon monoceros	narwhal	XM_029224651.1	XP_029080484.1	14933217	model		default-seq	89.6	#FAC026FF
111172798	DPP4	dipeptidyl peptidase 4	Delphinapterus leucas	beluga whale	XM_022569882.2	XP_022425590.1	14933217	model		default-seq	85.1	#FB9C07FF
116756563	DPP4	dipeptidyl peptidase 4	Phocoena sinus	vaquita	XM_032637176.1	XP_032493067.1	NA	model		default-seq	86.1	#FCA409FF
103088488	DPP4	dipeptidyl peptidase 4	Lipotes vexillifer	Yangtze River dolphin	XM_007464494.1	XP_007464556.1	14933217	model		default-seq	90.3	#FAC026FF
103006497	DPP4	dipeptidyl peptidase 4	Balaenoptera acutorostrata scammoni		XM_007183309.1	XP_007183371.1	14933217	model		default-seq	80	#F57B17FF
102995718	DPP4	dipeptidyl peptidase 4	Physeter catodon	sperm whale	XM_007105292.3	XP_007105354.1	14933217	model		default-seq	89.7	#FAC026FF
102518715	DPP4	dipeptidyl peptidase 4	Camelus ferus	Wild Bactrian camel	XM_032479571.1	XP_032335462.1	NA	model		default-seq	79.4	#F3751CFF
105093689	DPP4	dipeptidyl peptidase 4	Camelus dromedarius	Arabian camel	XM_031451544.1	XP_031307404.1	NA	model		default-seq	85.5	#FCA409FF
105082002	DPP4	dipeptidyl peptidase 4	Camelus bactrianus	Bactrian camel	XM_010971448.1	XP_010969750.1	14933217	model		default-seq	88.1	#FCB115FF
102542089	DPP4	dipeptidyl peptidase 4	Vicugna pacos	alpaca	XM_015250239.2	XP_015105725.1	14933217	model		default-seq	85.1	#FB9C07FF
397492	DPP4	dipeptidyl peptidase 4	Sus scrofa	pig	NM_214257.1	NP_999422.1	14933217	curated		default-seq	88.4	#FCB115FF
102415213	DPP4	dipeptidyl peptidase 4	Bubalus bubalis	water buffalo	XM_025275905.1	XP_025131690.1	14933217	model		default-seq	88	#FCB115FF
105002388	DPP4	dipeptidyl peptidase 4	Bison bison bison		XM_010858964.1	XP_010857266.1	14933217	model		default-seq	87.6	#FCB115FF
102264961	DPP4	dipeptidyl peptidase 4	Bos mutus	wild yak	XM_005897282.2	XP_005897344.1	14933217	model		default-seq	88.6	#FBB91EFF
281122	DPP4	dipeptidyl peptidase 4	Bos taurus	cattle	NM_174039.3	NP_776464.1	14933217	curated		default-seq	88.6	#FBB91EFF
113903322	DPP4	dipeptidyl peptidase 4	Bos indicus x Bos taurus	hybrid cattle	XM_027559292.1	XP_027415093.1	14933217	model		default-seq	88.6	#FBB91EFF
109575250	DPP4	dipeptidyl peptidase 4	Bos indicus	zebu cattle	XM_019983260.1	XP_019838819.1	14933217	model		default-seq	84.2	#FB9606FF
100170324	DPP4	dipeptidyl peptidase 4	Ovis aries	sheep	XM_004004660.4	XP_004004709.1	14933217	model		default-seq	87.7	#FCB115FF
102184205	DPP4	dipeptidyl peptidase 4	Capra hircus	goat	XM_005676046.3	XP_005676103.1	14933217	model		default-seq	88	#FCB115FF
110130102	DPP4	dipeptidyl peptidase 4	Odocoileus virginianus texanus		XM_020881845.1	XP_020737504.1	14933217	model		default-seq	87.6	#FCB115FF
108399548	DPP4	dipeptidyl peptidase 4	Manis javanica	Malayan pangolin	XM_017664375.1	XP_017519864.1	14933217	model		default-seq	89.3	#FBB91EFF
103114154	DPP4	dipeptidyl peptidase 4	Erinaceus europaeus	western European hedgehog	XM_016188444.1	XP_016043930.1	14933217	model		default-seq	84.3	#FB9606FF
101556883	DPP4	dipeptidyl peptidase 4	Sorex araneus	European shrew	XM_004608172.1	XP_004608229.1	14933217	model		default-seq	83.4	#F98E09FF
101622630	DPP4	dipeptidyl peptidase 4	Condylura cristata	star-nosed mole	XM_004674874.2	XP_004674931.1	12012129	model		default-seq	74.8	#E75D2EFF
114045809	DPP4	dipeptidyl peptidase 4	Vombatus ursinus	common wombat	XM_027865989.1	XP_027721790.1	14933217	model		default-seq	72.2	#DA4F3BFF
110220755	DPP4	dipeptidyl peptidase 4	Phascolarctos cinereus	koala	XM_021004926.1	XP_020860585.1	14933217	model		default-seq	70.2	#D24644FF
100914547	DPP4	dipeptidyl peptidase 4	Sarcophilus harrisii	Tasmanian devil	XM_023499244.2	XP_023355012.1	14933217	model		default-seq	73.3	#DF5337FF
100022348	DPP4	dipeptidyl peptidase 4	Monodelphis domestica	gray short-tailed opossum	XM_007494267.2	XP_007494329.1	14933217	model		default-seq	68.6	#CD4248FF
100082186	DPP4	dipeptidyl peptidase 4	Ornithorhynchus anatinus	platypus	XM_029072243.1	XP_028928076.1	14933217	model		default-seq	70.4	#D24644FF
104538891	DPP4	dipeptidyl peptidase 4	Mesitornis unicolor	brown roatelo	XM_010182248.1	XP_010180550.1	14933217	model		default-seq	61.8	#A72E60FF
104465660	DPP4	dipeptidyl peptidase 4	Pterocles gutturalis	yellow-throated sandgrouse	XM_010078790.1	XP_010077092.1	14933217	model		default-seq	60.3	#9B2964FF
104083037	DPP4	dipeptidyl peptidase 4	Fulmarus glacialis	Northern fulmar	XM_009586388.1	XP_009584683.1	14933217	model		default-seq	62.6	#AD305DFF
104010017	DPP4	dipeptidyl peptidase 4	Nipponia nippon	crested ibis	XM_009462077.1	XP_009460352.1	14933217	model		default-seq	58.5	#902568FF
104262842	DPP4	dipeptidyl peptidase 4	Gavia stellata	red-throated loon	XM_009819331.1	XP_009817633.1	14933217	model		default-seq	62.6	#AD305DFF
104621886	DPP4	dipeptidyl peptidase 4	Phaethon lepturus	White-tailed tropicbird	XM_010288504.1	XP_010286806.1	14933217	model		default-seq	61.8	#A72E60FF
103918183	DPP4	dipeptidyl peptidase 4	Pygoscelis adeliae	Adelie penguin	XM_009325445.1	XP_009323720.1	14933217	model		default-seq	62.7	#AD305DFF
103895417	DPP4	dipeptidyl peptidase 4	Aptenodytes forsteri	emperor penguin	XM_019470902.1	XP_019326447.1	14933217	model		default-seq	63.3	#AD305DFF
104163894	DPP4	dipeptidyl peptidase 4	Cariama cristata	Red-legged seriema	XM_009703041.1	XP_009701343.1	14933217	model		default-seq	62.1	#A72E60FF
104329052	DPP4	dipeptidyl peptidase 4	Opisthocomus hoazin		XM_009934134.1	XP_009932436.1	14933217	model		default-seq	62.8	#AD305DFF
104530372	DPP4	dipeptidyl peptidase 4	Antrostomus carolinensis	chuck-will's-widow	XM_029086754.1	XP_028942587.1	14933217	model		default-seq	63.7	#B3325AFF
104402032	DPP4	dipeptidyl peptidase 4	Nestor notabilis	Kea	XM_010009799.1	XP_010008101.1	14933217	model		default-seq	62.4	#A72E60FF
102089035	DPP4	dipeptidyl peptidase 4	Columba livia	rock pigeon	XM_021290908.1	XP_021146583.1	14933217	model		default-seq	64.4	#B3325AFF
104490860	DPP4	dipeptidyl peptidase 4	Buceros rhinoceros silvestris		XM_010133207.1	XP_010131509.1	14933217	model		default-seq	61.5	#A72E60FF
104300876	DPP4	dipeptidyl peptidase 4	Picoides pubescens	Downy woodpecker	XM_009901195.1	XP_009899497.1	NA	model		default-seq	59.6	#9B2964FF
104275063	DPP4	dipeptidyl peptidase 4	Apaloderma vittatum	bar-tailed trogon	XM_009870906.1	XP_009869208.1	14933217	model		default-seq	62.2	#A72E60FF
113482121	DPP4	dipeptidyl peptidase 4	Athene cunicularia	burrowing owl	XM_026852469.1	XP_026708270.1	14933217	model		default-seq	60.4	#9B2964FF
103776870	DPP4	dipeptidyl peptidase 4	Merops nubicus	carmine bee-eater	XM_008944396.1	XP_008942644.1	14933217	model		default-seq	61.8	#A72E60FF
103532703	DPP4	dipeptidyl peptidase 4	Calypte anna	Anna's hummingbird	XM_030454285.1	XP_030310145.1	NA	model		default-seq	63.3	#AD305DFF
104387517	DPP4	dipeptidyl peptidase 4	Chaetura pelagica	chimney swift	XM_009996287.1	XP_009994589.1	12012129	model		default-seq	61.6	#A72E60FF
102050925	DPP4	dipeptidyl peptidase 4	Falco cherrug	Saker falcon	XM_014282916.2	XP_014138391.1	14933217	model		default-seq	61.8	#A72E60FF
101915841	DPP4	dipeptidyl peptidase 4	Falco peregrinus	peregrine falcon	XM_013296766.2	XP_013152220.1	14933217	model		default-seq	61.8	#A72E60FF
104294958	DPP4	dipeptidyl peptidase 4	Charadrius vociferus	killdeer	XM_009894651.1	XP_009892953.1	14933217	model		default-seq	62.2	#A72E60FF
104352184	DPP4	dipeptidyl peptidase 4	Leptosomus discolor	cuckoo roller	XM_009958457.1	XP_009956759.1	14933217	model		default-seq	62.1	#A72E60FF
104833037	DPP4	dipeptidyl peptidase 4	Haliaeetus leucocephalus	bald eagle	XM_010569541.1	XP_010567843.1	14933217	model		default-seq	52.7	#731A6EFF
104317897	DPP4	dipeptidyl peptidase 4	Haliaeetus albicilla	white-tailed eagle	XM_009918923.1	XP_009917225.1	14933217	model		default-seq	62	#A72E60FF
115342578	DPP4	dipeptidyl peptidase 4	Aquila chrysaetos chrysaetos		XM_030017006.1	XP_029872866.1	NA	model		default-seq	64.6	#B83556FF
104041799	DPP4	dipeptidyl peptidase 4	Phalacrocorax carbo	great cormorant	XM_009501127.1	XP_009499422.1	14933217	model		default-seq	61.1	#A22B62FF
104511071	DPP4	dipeptidyl peptidase 4	Eurypyga helias	sunbittern	XM_010153533.1	XP_010151835.1	14933217	model		default-seq	62.8	#AD305DFF
104054612	DPP4	dipeptidyl peptidase 4	Cuculus canorus	common cuckoo	XM_009555653.1	XP_009553948.1	14933217	model		default-seq	57.7	#902568FF
104127992	DPP4	dipeptidyl peptidase 4	Egretta garzetta	little egret	XM_009640707.1	XP_009639002.1	14933217	model		default-seq	61.6	#A72E60FF
104382182	DPP4	dipeptidyl peptidase 4	Tauraco erythrolophus	red-crested turaco	XM_009990073.1	XP_009988375.1	14933217	model		default-seq	59.4	#962667FF
104477041	DPP4	dipeptidyl peptidase 4	Chlamydotis macqueenii	Macqueen's bustard	XM_010117024.1	XP_010115326.1	14933217	model		default-seq	62.7	#AD305DFF
102040187	DPP4	dipeptidyl peptidase 4	Geospiza fortis	medium ground-finch	XM_014306574.2	XP_014162049.2	NA	model		default-seq	50.1	#61136EFF
115905974	DPP4	dipeptidyl peptidase 4	Camarhynchus parvulus		XM_030952748.1	XP_030808608.1	NA	model		default-seq	63.4	#AD305DFF
102072343	DPP4	dipeptidyl peptidase 4	Zonotrichia albicollis	white-throated sparrow	XM_014265728.2	XP_014121203.1	12012129	model		default-seq	63	#AD305DFF
103814683	DPP4	dipeptidyl peptidase 4	Serinus canaria	Common canary	XM_018911469.2	XP_018767014.2	NA	model		default-seq	63.3	#AD305DFF
100231365	DPP4	dipeptidyl peptidase 4	Taeniopygia guttata	zebra finch	XM_030278373.2	XP_030134233.2	NA	model		default-seq	63.2	#AD305DFF
110469654	DPP4	dipeptidyl peptidase 4	Lonchura striata domestica	Bengalese finch	XM_021528605.1	XP_021384280.1	14933217	model		default-seq	56.9	#8A226AFF
111931734	DPP4	dipeptidyl peptidase 4	Cyanistes caeruleus	blue tit	XM_023930450.1	XP_023786218.1	14933217	model		default-seq	61.2	#A22B62FF
